sample_id,sample_location,location_group,lat,lon,dist_coast_km,precip_racmo,temp_racmo,ph_mq,ec_uScm,wtpct_c,wtpct_n,cn_ratio,d15n_permil,d13c_vpdb_permil,cl_mgL,na_mgL,so4_mgL,ca_mgL,no3_mgL,po4_mgL
CR-0833,Cape Royds (2007-08),Cape Royds,-77.551,166.163,0.4662,57.29881,-14.52534,6.752,2574.7,0.375,0.084,4.445,23.29,-22.702,864.81,508.87,50.0,8.543,40.95,94.38
CS-CR2,Cape Royds (2012-13),Cape Royds,-77.55312,166.16118,0.130884,57.29880905,-14.525335311889648,5.006,9225.5,,,,,,,2103.7490000000003,,35.773,,
CS-CR2,Cape Royds (2012-13),Cape Royds,-77.55312,166.16075,0.130884,57.29880905,-14.525335311889648,5.365,5942.0,0.311,0.121,2.569,27.179,-25.031,2358.34,2223.709,910.4,32.164,147.79,123.5
CS-CR5,Cape Royds (2012-13),Cape Royds,-77.55379,166.16237,0.113402,57.29880905,-14.525335311889648,5.463,5358.7,0.892,0.211,4.223,22.88,-26.634,2540.17,1500.25,717.65,71.715,199.99,454.65
CS-CR7,Cape Royds (2012-13),Cape Royds,-77.55383,166.16182,0.100126,57.29880905,-14.525335311889648,7.382,10769.5,0.509,0.48,1.061,40.844,-25.296,2730.53,2849.5,1711.0,54.92,19.97,877.29
CS-CR9,Cape Royds (2012-13),Cape Royds,-77.5538,166.16188,0.10314,57.29880905,-14.525335311889648,4.94,3433.2,0.464,0.099,4.67,21.346,-24.372,1118.47,681.3,50.0,8.36,33.06,12.01
DA-1,Darwin,Darwin Glacier,-79.87,159.36,3.42639,122.4593582,-26.9582576751709,8.629,117.3,0.101,0.024,4.206,-2.366,-3.704,390.35,317.224,947.07,429.31399999999996,101.38,0.5
DA-3,Darwin,Darwin Glacier,-79.87,159.36,3.42639,122.4593582,-26.9582576751709,8.868,161.5,0.012,0.033,0.348,-11.567,-38.454,375.47,308.007,50.0,398.577,304.32,0.5
DA-4,Darwin,Darwin Glacier,-79.87,159.36,3.42639,122.4593582,-26.9582576751709,8.703,103.1,0.05,0.118,0.42,-11.242,-9.935,1154.21,782.8389999999999,947.26,1583.722,1149.26,0.5
DA-5,Darwin,Darwin Glacier,-79.87,159.36,3.42639,122.4593582,-26.9582576751709,8.696,103.3,0.076,0.206,0.372,-10.446,-5.591,2129.9,1967.806,50.0,1525.358,2084.19,0.5
DA-6,Darwin,Darwin Glacier,-79.87,159.36,3.42639,122.4593582,-26.9582576751709,8.482,121.1,0.027,0.09,0.304,-13.826,-20.631,713.57,483.327,1093.89,1225.533,689.05,0.5
DS1(1-2),Dais,Upper Wright Valley,-77.551217,161.22075,54.10153,37.00067139,-31.25746726989746,8.046,5995.7,0.065,0.028,2.316,-15.451,-23.158,1302.33,1183.144,12936.86,5538.847,158.05,0.5
DS2(1-2),Dais,Upper Wright Valley,-77.55055,161.25785,53.22909,37.00067139,-31.25746726989746,8.091,6714.2,0.098,0.03,3.331,-14.904,-9.192,1062.45,1236.2,14150.4,5757.0,208.69,0.5
GE-A1-3,Garwood Elevationanl Transect,Garwood Valley,-78.02102,163.89929,9.724611,58.29367828,-25.524953842163086,10.074,280.7,0.816,0.009,91.067,-13.051,0.825,5.0,161.15,50.0,14.84,0.5,0.5
GE-A2-2,Garwood Elevationanl Transect,Garwood Valley,-78.02102,163.89957,9.724611,58.29367828,-25.524953842163086,9.926,229.2,0.612,0.008,81.313,-12.507,0.408,5.0,173.35000000000002,50.0,11.145,0.5,0.5
GE-B1-3,Garwood Elevationanl Transect,Garwood Valley,-78.01838,163.88684,10.0486,58.29367828,-25.524953842163086,9.644,280.1,0.805,0.013,62.425,-10.395,-0.666,42.88,176.309,50.0,17.44,0.5,0.5
GE-C2-3,Garwood Elevationanl Transect,Garwood Valley,-78.0178,163.87904,10.23447,58.29367828,-25.524953842163086,9.797,298.7,0.786,0.011,68.783,-12.665,-1.016,5.0,237.75,50.0,46.14,0.5,0.5
GE-C3-2,Garwood Elevationanl Transect,Garwood Valley,-78.0178,163.87984,10.21648,58.29367828,-25.524953842163086,9.756,230.6,0.702,0.012,58.213,-10.512,-0.984,5.0,193.364,50.0,12.899000000000001,0.5,0.5
HC-BA1,Hawkins Cirque,Virginia Valley,-77.51125,160.58441,67.7005,38.31489944,-35.59180450439453,7.593,1693.0,0.028,0.011,2.643,-11.625,-30.575,106.7,240.79000000000002,666.11,99.07900000000001,14.06,0.5
HC-BA2,Hawkins Cirque,Virginia Valley,-77.51149,160.58763,67.67888,38.31489944,-35.59180450439453,8.513,32.8,0.036,0.008,4.581,-10.781,-30.063,75.06,22.862000000000002,50.0,6.4879999999999995,0.5,0.5
HC-Z5-1,Hawkins Cirque,Virginia Valley,-77.509267,160.589717,67.44944,38.31489944,-35.59180450439453,7.497,1694.7,0.026,0.014,1.826,-9.131,-31.567,297.93,347.95,645.23,90.73,73.76,0.5
HC-ZS2,Hawkins Cirque,Virginia Valley,-77.509533,160.596333,67.38448,38.31489944,-35.59180450439453,7.236,3512.0,0.056,0.024,2.354,-12.301,-32.37,425.92,350.7,2943.12,1076.75,119.47,0.5
HD-10,Hogg: Durham Point,Scott Glacier,-85.53565,-151.18523,16.75886,232.5030823,-22.5656795501709,6.912,2213.0,0.041,0.006,6.592,-6.979,-29.017,74.44,55.787000000000006,50.0,24.596,0.5,0.5
HD-11,Hogg: Durham Point,Scott Glacier,-85.53595,-151.18383,16.79254,232.5030823,-22.5656795501709,6.847,3184.8,,,,,,5.0,20.044,50.0,25.432000000000002,0.5,0.5
HD-14,Hogg: Durham Point,Scott Glacier,-85.53555,-151.18968,16.72874,232.5030823,-22.5656795501709,6.476,11659.3,0.017,0.007,2.418,-11.176,-28.006,44.96,32.014,50.0,35.532000000000004,0.5,0.5
HD-6,Hogg: Durham Point,Scott Glacier,-85.54578,-151.14393,17.87035,232.5030823,-22.5656795501709,6.794,16559.6,0.061,0.013,4.543,-9.901,-32.218,5.0,47.89,50.0,5.215,0.5,0.5
HG-3,Hogg: Garden Spur,Garden Spur,-84.5361,-174.9459,5.608994,139.8670349,-21.73006248474121,7.514,31.8,0.121,0.017,7.087,-4.553,-30.475,5.0,44.141,50.0,10.292,0.5,0.5
HG-54,Hogg: Garden Spur,Garden Spur,-84.5362,-174.9438,5.630424,139.8670349,-21.73006248474121,8.665,403.1,0.203,0.022,9.087,-11.061,-30.29,5.0,6.470000000000001,50.0,4.18,0.5,0.5
HG-6,Hogg: Garden Spur,Garden Spur,-84.5357,-174.9415,5.599884,139.8670349,-21.73006248474121,7.215,7247.5,0.309,0.038,8.159,-1.867,-29.676,5.0,11.700999999999999,50.0,13.26,0.5,0.5
HG-8,Hogg: Garden Spur,Garden Spur,-84.5356,-174.952,5.528137,139.8670349,-21.73006248474121,4.51,4173.9,0.33,0.034,9.709,-2.447,-28.699,5.0,44.052,50.0,7.692,0.5,41.62
HG-9,Hogg: Garden Spur,Garden Spur,-84.5379,-174.9299,5.86476,139.8670349,-21.73006248474121,4.787,4703.2,0.093,0.011,8.627,-8.585,-29.659,47.82,16.872,50.0,4.468999999999999,0.5,0.5
HH-1,Hogg: Mount Howe,Scott Glacier,-87.3447,-149.2517,211.2079,102.9876785,-38.11365509033203,7.884,67.1,0.008,0.068,0.123,-16.221,-37.81,164.86,653.718,2038.29,611.604,330.02,0.5
HH-2,Hogg: Mount Howe,Scott Glacier,-87.3447,-149.2531,211.207,102.9876785,-38.11365509033203,8.471,52.1,0.072,0.044,1.641,-19.347,-37.917,145.01,462.89599999999996,1138.85,374.36499999999995,298.13,0.5
HH-3,Hogg: Mount Howe,Scott Glacier,-87.3447,-149.2521,211.2077,102.9876785,-38.11365509033203,8.316,66.9,0.06,0.047,1.28,-24.13,-37.004,96.15,314.42600000000004,597.13,242.326,264.32,0.5
HK-1,Mount Kyffin,Beardmore Glacier,-83.760833,172.746167,7.168472,175.6383057,-23.165746688842773,7.66,13825.6,0.051,0.01,5.013,-6.663,-28.748,54.39,19.17,50.0,45.835,0.5,0.5
HK-2,Mount Kyffin,Beardmore Glacier,-83.760833,172.7461,7.169239,175.6383057,-23.165746688842773,6.726,13255.9,0.289,0.029,9.946,-10.273,-27.069,5.0,14.655999999999999,50.0,11.606,0.5,24.08
HK-3,Mount Kyffin,Beardmore Glacier,-83.760817,172.74665,7.162497,175.6383057,-23.165746688842773,7.627,125.1,0.04,0.009,4.327,-5.596,-30.419,5.0,19.127000000000002,50.0,19.241,0.5,0.5
HK-4,Mount Kyffin,Beardmore Glacier,-83.760717,172.749983,7.12155,175.6383057,-23.165746688842773,7.908,88.8,0.04,0.008,4.912,-5.708,-27.927,5.0,20.529,50.0,13.49,0.5,0.5
HK-5,Mount Kyffin,Beardmore Glacier,-83.760733,172.750683,7.113984,175.6383057,-23.165746688842773,7.686,142.8,0.037,0.009,4.215,-7.658,-26.691,5.0,21.203,50.0,18.998,0.5,0.5
HM-2,Hogg: Masan,Mason Glacier,-84.559,175.0087,55.31727,266.3554382,-32.059364318847656,6.415,24.6,0.122,0.02,6.039,-3.924,-25.897,5.0,3.972,50.0,9.603,0.5,0.5
HM-3,Hogg: Masan,Mason Glacier,-84.559,175.0086,55.31821,266.3554382,-32.059364318847656,5.951,53.8,0.1,0.017,5.881,-7.249,-29.636,5.0,8.133,50.0,6.547,0.5,0.5
HM-5,Hogg: Masan,Mason Glacier,-84.55905,175.0089,55.31762,266.3554382,-32.059364318847656,6.884,48.2,0.192,0.029,6.528,3.094,-26.546,5.0,4.695,50.0,10.345,0.5,0.5
HM-6,Hogg: Masan,Mason Glacier,-84.55917,175.0089,55.32297,266.3554382,-32.059364318847656,6.521,44.6,0.658,0.058,11.265,-0.622,-26.921,5.0,5.3759999999999994,50.0,17.228,0.5,0.5
HR-1,Gateway Spur,Beardmore Glacier,-83.774467,170.789883,15.52082,358.4845581,-28.810415267944336,8.575,139.8,0.108,0.014,7.954,-4.886,-28.675,5.0,19.18,50.0,14.855,0.5,0.5
HR-2,Gateway Spur,Beardmore Glacier,-83.774883,170.78935,15.54725,358.4845581,-28.810415267944336,6.223,39.7,0.043,0.007,6.049,-12.37,-27.501,66.44,12.735,50.0,11.54,4.99,30.09
HR-3,Gateway Spur,Beardmore Glacier,-83.774067,170.779983,15.60507,358.4845581,-28.810415267944336,7.752,70.8,0.268,0.024,11.383,-7.24,-10.221,5.0,13.120000000000001,50.0,4.973,0.5,0.5
HR-4,Gateway Spur,Beardmore Glacier,-83.77465,170.7777,15.65797,358.4845581,-28.810415267944336,7.484,38.3,0.05,0.008,5.977,-13.809,-29.18,5.0,13.096,50.0,4.5280000000000005,0.5,0.5
HR-5,Gateway Spur,Beardmore Glacier,-83.774367,170.777417,15.64692,358.4845581,-28.810415267944336,7.942,56.6,0.067,0.011,6.034,-13.472,-24.274,45.29,48.025000000000006,50.0,14.17,0.5,0.5
HS-1,Harcourt Spur,Beardmore Glacier,-83.8008,172.217233,9.103884,175.6383057,-23.165746688842773,8.089,80.6,0.087,0.012,7.474,-9.187,-16.356,43.09,23.332,50.0,60.015,0.5,0.5
HS-2,Harcourt Spur,Beardmore Glacier,-83.800917,172.219133,9.121509,175.6383057,-23.165746688842773,8.388,20.1,0.074,0.012,6.241,-4.812,-12.001,5.0,17.055,50.0,61.66,0.5,7.12
HS-3,Harcourt Spur,Beardmore Glacier,-83.800867,172.221833,9.123737,175.6383057,-23.165746688842773,8.25,12.3,0.156,0.008,18.453,-5.331,-6.272,5.0,8.318,50.0,68.783,0.5,0.5
HS-4,Harcourt Spur,Beardmore Glacier,-83.8003,172.2103,9.032148,175.6383057,-23.165746688842773,8.184,10.7,0.209,0.008,25.309,-8.26,-4.744,5.0,8.786999999999999,50.0,68.80699999999999,0.5,0.5
HS-7,Harcourt Spur,Beardmore Glacier,-83.805733,172.26245,9.758505,175.6383057,-23.165746688842773,7.894,20.5,0.05,0.008,6.482,-17.167,-22.856,5.0,29.98,50.0,49.861999999999995,0.5,0.5
HV1-8,Shackleton Glacier,Shackleton Glacier,-85.03005,-177.17513333333332,54.86032,77.82814789,-33.88451385498047,8.301,845.9,0.064,0.018,3.577,0.865,-21.294,345.66,273.4,50.0,23.59,23.14,0.5
HV2-5,Shackleton Glacier,Shackleton Glacier,-85.0467,-177.41616666666667,57.20664,77.82814789,-33.88451385498047,7.235,1256.5,0.082,0.02,4.052,0.247,-26.221,211.67,326.43300000000005,903.1,161.54299999999998,17.49,0.5
HV3-1,Shackleton Glacier,Shackleton Glacier,-85.03316666666667,-177.32921666666667,55.56487,77.82814789,-33.88451385498047,7.736,7246.4,0.05,0.052,0.969,6.602,-24.288,1067.45,975.675,14305.83,5785.071,327.1,0.5
HV3-9,Shackleton Glacier,Shackleton Glacier,-85.02945,-177.19228333333334,54.83725,77.82814789,-33.88451385498047,8.359,220.2,0.089,0.016,5.75,0.176,-25.297,62.85,45.47,50.0,23.901999999999997,9.29,0.5
HVY-4A,Hidden Valley,Hidden Valley,-78.14,163.901,4.9,58.29368,-25.52495,9.912,285.9,0.12,0.007,17.006,-12.705,-5.308,5.0,246.53199999999998,50.0,72.964,0.5,0.5
HVY-5A,Hidden Valley,Hidden Valley,-78.14,163.901,4.9,58.29368,-25.52495,9.957,610.8,0.144,0.006,25.235,-8.655,-2.718,147.7,400.55,50.0,65.535,0.5,0.5
HVY-9054A,Hidden Valley,Hidden Valley,-78.15421751,163.950428,2.143799,109.7056427,-20.0228328704834,9.718,225.0,0.197,0.008,24.475,-15.92,-3.591,5.0,247.985,50.0,61.263999999999996,0.5,0.5
HVY-9062A,Hidden Valley,Hidden Valley,-78.14311,163.89069,3.95638,58.29367828,-25.524953842163086,10.135,403.4,0.147,0.006,25.83,-12.764,-4.199,5.0,468.206,50.0,82.153,0.5,0.5
HVY-9130A,Hidden Valley,Hidden Valley,-78.16503243,163.9685377,1.065962,109.7056427,-20.0228328704834,9.633,10418.0,0.161,0.007,21.769,-9.633,-0.495,2500.67,3176.5,2921.31,76.03,12.33,0.5
KR-1,Shackleton Glacier,Shackleton Glacier,-85.19783333333334,-177.10211666666666,72.57642,77.82814789,-33.88451385498047,8.078,1092.1,0.045,0.02,2.301,-3.89,-28.863,147.99,328.0,555.35,172.05,58.74,0.5
KR-2,Shackleton Glacier,Shackleton Glacier,-85.1963,-177.1043,72.41568,77.82814789,-33.88451385498047,7.277,15610.0,0.013,0.103,0.129,-1.925,-33.988,2607.37,3233.5,15850.83,4403.5,927.2,0.5
KR-4,Shackleton Glacier,Shackleton Glacier,-85.197,-177.06905,72.43465,77.82814789,-33.88451385498047,7.91,259.3,0.055,0.015,3.725,-6.093,-24.662,900.29,89.271,50.0,14.100000000000001,10.44,0.5
LC1-5,Cape Hallett,Cape Hallett,-72.321,170.228,0.1681,948.1061,-12.38181,5.39,172.7,1.937,0.338,5.73,19.381,-21.683,5.0,53.885000000000005,50.0,8.41,0.5,0.5
LC3-5,Cape Hallett,Cape Hallett,-72.321,170.228,0.1681,948.1061,-12.38181,5.966,218.8,,,,,,85.69,107.674,50.0,17.799,0.5,13.97
LC4-1,Cape Hallett,Cape Hallett,-72.321,170.228,0.1681,948.1061,-12.38181,6.133,100.7,,,,,,5.0,48.165,50.0,3.895,0.5,0.5
LGP (3-4),Cape Hallett,Cape Hallett,-72.321269,170.228218,0.108207,948.1061401,-12.381811141967773,5.889,96.7,0.593,0.099,6.0,20.443,-24.342,187.92,43.715,50.0,4.9719999999999995,11.42,0.5
LGP (BA 1-3),Cape Hallett,Cape Hallett,-72.3212,170.2282,0.1951,948.1061,-12.38181,5.535,143.1,2.598,0.432,6.019,20.835,-21.212,177.82,56.444,50.0,6.4719999999999995,0.5,0.5
LGP-BA LV8,Luther Vale,Cape Hallett,-72.371133,169.884367,0.912596,398.8200378,-20.45734214782715,8.882,707.6,0.123,0.035,3.505,3.037,-22.72,327.47,207.505,50.0,24.915,0.5,0.5
LI-1,Livingston Island,Livingston Island,-62.66347,-60.3917,0.137104,1665.990967,-4.052801609039307,4.708,134.9,10.49,0.789,13.289,13.607,-26.041,190.68,138.232,50.0,132.999,0.5,0.5
LI-10,Livingston Island,Livingston Island,-62.66187,-60.394,0.025031,1665.990967,-4.052801609039307,5.44,203.0,4.971,0.348,14.294,4.302,-26.686,48.52,112.16999999999999,50.0,58.089,4.44,0.5
LI-11,Livingston Island,Livingston Island,-62.66989,-60.3792,0.972199,1665.990967,-4.052801609039307,6.196,67.5,0.228,0.028,8.232,-4.734,-23.662,5.0,34.548,50.0,68.53200000000001,0.5,0.5
LI-12,Livingston Island,Livingston Island,-62.66989,-60.3792,0.972199,1665.990967,-4.052801609039307,6.323,138.3,0.106,0.016,6.545,-8.177,-25.265,5.0,71.619,50.0,78.90599999999999,0.5,0.5
LI-13,Livingston Island,Livingston Island,-62.66989,-60.3792,0.972199,1665.990967,-4.052801609039307,6.587,69.4,0.131,0.018,7.066,-11.691,-26.081,5.0,37.607,50.0,2.901,0.5,0.5
LI-14,Livingston Island,Livingston Island,-62.66989,-60.3792,0.972199,1665.990967,-4.052801609039307,6.47,145.1,0.488,0.043,11.472,-4.818,-22.795,5.0,36.005,50.0,76.44,0.5,0.5
LI-15,Livingston Island,Livingston Island,-62.66989,-60.3792,0.972199,1665.990967,-4.052801609039307,6.575,63.4,0.421,0.039,10.921,-4.44,-23.877,5.0,43.89,50.0,64.9,0.5,0.5
LI-2,Livingston Island,Livingston Island,-62.66347,-60.3917,0.137104,1665.990967,-4.052801609039307,4.95,5.9,10.638,0.919,11.57,15.591,-26.574,272.65,133.164,50.0,87.348,0.5,0.5
LI-3,Livingston Island,Livingston Island,-62.66347,-60.3917,0.137104,1665.990967,-4.052801609039307,4.807,123.8,12.252,1.103,11.106,16.094,-26.947,257.69,159.697,50.0,127.518,5.69,0.5
LI-4,Livingston Island,Livingston Island,-62.66357,-60.39202,0.154136,1665.990967,-4.052801609039307,5.566,102.2,0.504,0.055,9.204,4.987,-24.634,54.05,40.266,50.0,71.598,0.5,0.5
LI-5,Livingston Island,Livingston Island,-62.66357,-60.39202,0.154136,1665.990967,-4.052801609039307,5.999,103.9,0.472,0.053,8.942,4.924,-25.348,54.5,30.784,50.0,95.114,0.5,0.5
LI-6,Livingston Island,Livingston Island,-62.66357,-60.39202,0.154136,1665.990967,-4.052801609039307,6.173,83.0,0.3,0.039,7.667,4.112,-25.485,40.98,27.936,50.0,58.266,0.5,0.5
LI-7,Livingston Island,Livingston Island,-62.66187,-60.394,0.025031,1665.990967,-4.052801609039307,6.002,157.4,7.355,0.399,18.425,5.995,-26.035,115.52,207.82,50.0,105.695,0.5,0.5
LI-8,Livingston Island,Livingston Island,-62.66187,-60.394,0.025031,1665.990967,-4.052801609039307,5.767,199.3,10.814,0.761,14.206,5.038,-27.119,215.11,251.76600000000002,50.0,112.752,0.5,27.64
LI-9,Livingston Island,Livingston Island,-62.66187,-60.394,0.025031,1665.990967,-4.052801609039307,5.964,277.1,2.428,0.203,11.98,6.132,-25.058,5.0,86.85900000000001,50.0,72.32900000000001,0.5,0.5
LV-14,Luther Vale,Cape Hallett,-72.370052,169.89582,0.664969,398.8200378,-20.45734214782715,7.861,286.1,0.122,0.03,4.137,3.266,-15.679,5.0,32.831,50.0,52.073,0.5,0.5
