sample_id,sample_location,location_group,lat,lon,dist_coast_km,precip_racmo,temp_racmo,ph_mq,ec_uScm,wtpct_c,wtpct_n,cn_ratio,d15n_permil,d13c_vpdb_permil,cl_mgL,na_mgL,so4_mgL,ca_mgL,no3_mgL,po4_mgL
MS-7,Mt. Seuss Refugia,Mount Seuss,-77.03,161.71,10.33912,29.77099037,-30.7464656829834,8.161,46.8,0.041,0.01,4.239,13.307,-30.245,102.57,19.337,50.0,8.693,0.5,0.5
MSP1-1,Shackleton Glacier,Shackleton Glacier,-84.48301666666667,-176.51275,2.566252,168.7789764,-21.165258407592773,9.759,76.7,0.037,0.007,5.051,-4.669,-31.323,54.07,4.005,50.0,4.37,0.5,0.5
MSP1-4,Shackleton Glacier,Shackleton Glacier,-84.48296666666667,-176.48053333333334,2.314748,168.7789764,-21.165258407592773,9.127,17.7,0.05,0.015,3.361,-3.909,-29.3,5.0,4.13,50.0,6.56,0.5,0.5
MSP2-1,Shackleton Glacier,Shackleton Glacier,-84.48188333333333,-176.50696666666667,2.440616,168.7789764,-21.165258407592773,8.753,23.0,0.039,0.01,3.854,-10.098,-32.754,5.0,8.165000000000001,50.0,5.795,0.5,0.5
MSP3-1,Shackleton Glacier,Shackleton Glacier,-84.48191666666666,-176.4879,2.291538,168.7789764,-21.165258407592773,7.536,365.7,0.221,0.027,8.064,-4.07,-29.157,5.0,31.31,50.0,6.218,0.5,0.5
MSP3-4,Shackleton Glacier,Shackleton Glacier,-84.48018333333333,-176.48808333333332,2.17039,168.7789764,-21.165258407592773,6.659,113.3,0.242,0.025,9.741,-4.79,-29.672,41.6,13.241,50.0,40.236000000000004,12.0,0.5
MW2-1,Shackleton Glacier,Shackleton Glacier,-84.55958333,-176.8112167,9.392609,168.7789764,-21.165258407592773,6.824,70.8,0.094,0.016,5.963,-1.209,-25.744,5.0,12.35,50.0,10.08,0.5,0.5
NP1-1,Shackleton Glacier,Shackleton Glacier,-84.53455,-175.422233333333,2.377226,139.8670349,-21.73006248474121,7.8,90.6,0.07,0.017,4.15,-10.986,-35.841,76.87,23.366,50.0,13.969999999999999,0.5,0.5
NP2-1,Shackleton Glacier,Shackleton Glacier,-84.53481666666667,-175.4262,2.37608,139.8670349,-21.73006248474121,8.156,75.7,0.04,0.011,3.566,-6.229,-31.606,63.45,22.647,50.0,21.197,0.5,0.5
NP3-1,Shackleton Glacier,Shackleton Glacier,-84.5346,-175.42316666666667,2.375782,139.8670349,-21.73006248474121,6.951,72.1,0.06,0.014,4.299,-9.435,-32.853,45.28,9.862,50.0,9.751999999999999,0.5,0.5
